# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.791584e+02	8.889742e+01	9.026101e+01	1.363596e+00	6.820566e-01	6.815396e-01	2.584887e-04	-6.817981e-01	8.957921e+01	-4.453774e-19	8.957921e+01	-8.957921e+01
2             	2.511363e+01	1.266563e+01	1.244800e+01	-2.176333e-01	-1.072491e-01	-1.103842e-01	1.567554e-03	1.088167e-01	1.255682e+01	-3.576247e-18	1.255682e+01	-1.255682e+01
3             	2.059384e-01	-1.851608e-01	3.910992e-01	5.762599e-01	2.847449e-01	2.915151e-01	-3.385121e-03	-2.881300e-01	1.029692e-01	-3.337710e-19	1.029692e-01	-1.029692e-01
4             	-1.060331e-01	-1.344061e-01	2.837301e-02	1.627791e-01	7.834460e-02	8.443454e-02	-3.044968e-03	-8.138957e-02	-5.301656e-02	-5.500760e-20	-5.301656e-02	5.301656e-02
5             	1.394286e+00	6.517750e-01	7.425109e-01	9.073586e-02	4.591878e-02	4.481709e-02	5.508429e-04	-4.536793e-02	6.971429e-01	-5.021238e-20	6.971429e-01	-6.971429e-01
6             	2.113788e+00	1.008520e+00	1.105268e+00	9.674783e-02	4.876697e-02	4.798086e-02	3.930575e-04	-4.837392e-02	1.056894e+00	-5.410953e-20	1.056894e+00	-1.056894e+00
7             	2.296444e+00	1.097475e+00	1.198968e+00	1.014928e-01	5.081398e-02	5.067881e-02	6.758852e-05	-5.074640e-02	1.148222e+00	-6.351554e-20	1.148222e+00	-1.148222e+00
8             	2.390323e+00	1.137944e+00	1.252379e+00	1.144341e-01	5.727909e-02	5.715497e-02	6.205703e-05	-5.721703e-02	1.195161e+00	-6.908036e-20	1.195161e+00	-1.195161e+00
9             	2.473805e+00	1.186425e+00	1.287380e+00	1.009545e-01	5.075073e-02	5.020372e-02	2.735042e-04	-5.047723e-02	1.236902e+00	-7.655866e-20	1.236902e+00	-1.236902e+00
10            	2.563298e+00	1.228278e+00	1.335021e+00	1.067433e-01	5.374022e-02	5.300307e-02	3.685754e-04	-5.337164e-02	1.281649e+00	-8.840681e-20	1.281649e+00	-1.281649e+00
