# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.653400e-03	8.168894e-04	8.365101e-04	1.962071e-05	9.796385e-06	9.824329e-06	-1.397186e-08	-9.810357e-06	8.266998e-04	-5.674371e-22	8.266998e-04	-8.266998e-04
2             	1.068425e-03	5.411378e-04	5.272875e-04	-1.385027e-05	-7.130142e-06	-6.720132e-06	-2.050050e-07	6.925137e-06	5.342127e-04	2.443921e-22	5.342127e-04	-5.342127e-04
3             	1.314065e-03	6.682595e-04	6.458053e-04	-2.245421e-05	-1.121027e-05	-1.124393e-05	1.683015e-08	1.122710e-05	6.570324e-04	5.688105e-24	6.570324e-04	-6.570324e-04
4             	1.468057e-03	7.534792e-04	7.145782e-04	-3.890105e-05	-1.939503e-05	-1.950602e-05	5.549552e-08	1.945052e-05	7.340287e-04	-2.711552e-23	7.340287e-04	-7.340287e-04
5             	1.598022e-03	8.243563e-04	7.736659e-04	-5.069043e-05	-2.517145e-05	-2.551898e-05	1.737638e-07	2.534521e-05	7.990111e-04	-4.421407e-23	7.990111e-04	-7.990111e-04
6             	1.652039e-03	8.535950e-04	7.984437e-04	-5.515128e-05	-2.729482e-05	-2.785647e-05	2.808255e-07	2.757564e-05	8.260194e-04	-5.583047e-23	8.260194e-04	-8.260194e-04
7             	1.648734e-03	8.509625e-04	7.977715e-04	-5.319105e-05	-2.623453e-05	-2.695653e-05	3.609998e-07	2.659553e-05	8.243670e-04	-6.615977e-23	8.243670e-04	-8.243670e-04
8             	1.607243e-03	8.255562e-04	7.816867e-04	-4.386949e-05	-2.151450e-05	-2.235499e-05	4.202433e-07	2.193474e-05	8.036214e-04	-7.366881e-23	8.036214e-04	-8.036214e-04
9             	1.550390e-03	7.902912e-04	7.600988e-04	-3.019241e-05	-1.467643e-05	-1.551598e-05	4.197762e-07	1.509621e-05	7.751950e-04	-7.563100e-23	7.751950e-04	-7.751950e-04
10            	1.493218e-03	7.536676e-04	7.395506e-04	-1.411704e-05	-6.708525e-06	-7.408511e-06	3.499931e-07	7.058518e-06	7.466091e-04	-7.804261e-23	7.466091e-04	-7.466091e-04
11            	1.444154e-03	7.188169e-04	7.253375e-04	6.520663e-06	3.536609e-06	2.984054e-06	2.762778e-07	-3.260331e-06	7.220772e-04	-7.912105e-23	7.220772e-04	-7.220772e-04
12            	1.410797e-03	6.914250e-04	7.193722e-04	2.794715e-05	1.416678e-05	1.378036e-05	1.932079e-07	-1.397357e-05	7.053986e-04	-7.908428e-23	7.053986e-04	-7.053986e-04
13            	1.397809e-03	6.744175e-04	7.233915e-04	4.897401e-05	2.462344e-05	2.435057e-05	1.364385e-07	-2.448701e-05	6.989045e-04	-7.822924e-23	6.989045e-04	-6.989045e-04
