# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.385571e-03	1.737024e-03	1.648547e-03	-8.847723e-05	-4.425777e-05	-4.421947e-05	-1.914911e-08	4.423862e-05	1.692785e-03	4.686799e-21	1.692785e-03	-1.692785e-03
2             	2.528868e-03	1.328029e-03	1.200839e-03	-1.271902e-04	-6.368636e-05	-6.350388e-05	-9.124013e-08	6.359512e-05	1.264434e-03	8.315291e-22	1.264434e-03	-1.264434e-03
3             	2.944884e-03	1.496461e-03	1.448423e-03	-4.803837e-05	-2.407095e-05	-2.396742e-05	-5.176287e-08	2.401919e-05	1.472442e-03	1.777855e-21	1.472442e-03	-1.472442e-03
4             	3.549315e-03	1.775681e-03	1.773634e-03	-2.047923e-06	-1.058356e-06	-9.895679e-07	-3.439385e-08	1.023962e-06	1.774657e-03	1.324732e-21	1.774657e-03	-1.774657e-03
5             	3.592413e-03	1.804670e-03	1.787743e-03	-1.692724e-05	-8.498274e-06	-8.428968e-06	-3.465346e-08	8.463621e-06	1.796207e-03	1.276396e-21	1.796207e-03	-1.796207e-03
6             	3.530503e-03	1.775336e-03	1.755167e-03	-2.016911e-05	-1.013734e-05	-1.003177e-05	-5.278162e-08	1.008456e-05	1.765252e-03	1.327360e-21	1.765252e-03	-1.765252e-03
7             	3.430768e-03	1.733139e-03	1.697629e-03	-3.550979e-05	-1.778541e-05	-1.772438e-05	-3.051168e-08	1.775489e-05	1.715384e-03	1.238854e-21	1.715384e-03	-1.715384e-03
8             	3.450722e-03	1.744109e-03	1.706613e-03	-3.749559e-05	-1.877899e-05	-1.871660e-05	-3.119696e-08	1.874779e-05	1.725361e-03	1.149797e-21	1.725361e-03	-1.725361e-03
9             	3.377853e-03	1.709173e-03	1.668679e-03	-4.049396e-05	-2.027639e-05	-2.021757e-05	-2.940595e-08	2.024698e-05	1.688926e-03	1.115547e-21	1.688926e-03	-1.688926e-03
10            	3.362608e-03	1.697815e-03	1.664793e-03	-3.302167e-05	-1.653566e-05	-1.648601e-05	-2.482562e-08	1.651083e-05	1.681304e-03	1.125764e-21	1.681304e-03	-1.681304e-03
11            	3.310682e-03	1.670956e-03	1.639726e-03	-3.122955e-05	-1.562665e-05	-1.560291e-05	-1.187046e-08	1.561478e-05	1.655341e-03	1.060494e-21	1.655341e-03	-1.655341e-03
12            	3.298832e-03	1.663285e-03	1.635547e-03	-2.773828e-05	-1.387260e-05	-1.386568e-05	-3.456961e-09	1.386914e-05	1.649416e-03	1.024187e-21	1.649416e-03	-1.649416e-03
13            	3.256580e-03	1.641573e-03	1.615007e-03	-2.656607e-05	-1.328143e-05	-1.328464e-05	1.602740e-09	1.328304e-05	1.628290e-03	1.010119e-21	1.628290e-03	-1.628290e-03
14            	3.232328e-03	1.628235e-03	1.604093e-03	-2.414289e-05	-1.206654e-05	-1.207635e-05	4.909305e-09	1.207144e-05	1.616164e-03	9.949591e-22	1.616164e-03	-1.616164e-03
15            	3.206797e-03	1.614404e-03	1.592393e-03	-2.201098e-05	-1.099324e-05	-1.101774e-05	1.224746e-08	1.100549e-05	1.603399e-03	9.570405e-22	1.603399e-03	-1.603399e-03
16            	3.174445e-03	1.596630e-03	1.577815e-03	-1.881469e-05	-9.394649e-06	-9.420037e-06	1.269394e-08	9.407343e-06	1.587223e-03	9.329264e-22	1.587223e-03	-1.587223e-03
17            	3.151341e-03	1.584528e-03	1.566813e-03	-1.771487e-05	-8.838862e-06	-8.876007e-06	1.857246e-08	8.857434e-06	1.575671e-03	9.227632e-22	1.575671e-03	-1.575671e-03
18            	3.118149e-03	1.565411e-03	1.552738e-03	-1.267338e-05	-6.320367e-06	-6.353015e-06	1.632410e-08	6.336691e-06	1.559075e-03	8.994996e-22	1.559075e-03	-1.559075e-03
19            	3.092459e-03	1.551907e-03	1.540552e-03	-1.135467e-05	-5.653792e-06	-5.700873e-06	2.354055e-08	5.677333e-06	1.546229e-03	8.768172e-22	1.546229e-03	-1.546229e-03
20            	3.057911e-03	1.532222e-03	1.525688e-03	-6.534310e-06	-3.246025e-06	-3.288285e-06	2.112985e-08	3.267155e-06	1.528955e-03	8.588153e-22	1.528955e-03	-1.528955e-03
21            	3.024068e-03	1.514166e-03	1.509902e-03	-4.264760e-06	-2.104943e-06	-2.159817e-06	2.743676e-08	2.132380e-06	1.512034e-03	8.447312e-22	1.512034e-03	-1.512034e-03
22            	2.985633e-03	1.493085e-03	1.492548e-03	-5.373260e-07	-2.395730e-07	-2.977530e-07	2.909000e-08	2.686630e-07	1.492817e-03	8.254277e-22	1.492817e-03	-1.492817e-03
23            	2.942768e-03	1.469721e-03	1.473047e-03	3.326005e-06	1.683065e-06	1.642940e-06	2.006256e-08	-1.663002e-06	1.471384e-03	8.069467e-22	1.471384e-03	-1.471384e-03
24            	2.896831e-03	1.445610e-03	1.451221e-03	5.610320e-06	2.825514e-06	2.784806e-06	2.035395e-08	-2.805160e-06	1.448415e-03	7.922062e-22	1.448415e-03	-1.448415e-03
25            	2.845082e-03	1.417717e-03	1.427366e-03	9.649379e-06	4.842447e-06	4.806933e-06	1.775689e-08	-4.824690e-06	1.422541e-03	7.767241e-22	1.422541e-03	-1.422541e-03
26            	2.790785e-03	1.390013e-03	1.400771e-03	1.075773e-05	5.387297e-06	5.370434e-06	8.431492e-09	-5.378865e-06	1.395392e-03	7.606981e-22	1.395392e-03	-1.395392e-03
27            	2.731858e-03	1.358833e-03	1.373025e-03	1.419166e-05	7.094393e-06	7.097264e-06	-1.435697e-09	-7.095829e-06	1.365929e-03	7.455683e-22	1.365929e-03	-1.365929e-03
28            	2.669739e-03	1.327295e-03	1.342444e-03	1.514944e-05	7.580579e-06	7.568862e-06	5.858563e-09	-7.574720e-06	1.334869e-03	7.318120e-22	1.334869e-03	-1.334869e-03
29            	2.606572e-03	1.294429e-03	1.312143e-03	1.771389e-05	8.833473e-06	8.880422e-06	-2.347478e-08	-8.856947e-06	1.303286e-03	7.183116e-22	1.303286e-03	-1.303286e-03
