# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.252860e-01	1.607542e-01	1.645318e-01	3.777681e-03	1.888634e-03	1.889047e-03	-2.062238e-07	-1.888841e-03	1.626430e-01	-7.276550e-20	1.626430e-01	-1.626430e-01
2             	5.775485e-01	2.915620e-01	2.859864e-01	-5.575605e-03	-2.799733e-03	-2.775872e-03	-1.193022e-05	2.787803e-03	2.887742e-01	2.889354e-20	2.887742e-01	-2.887742e-01
3             	8.129912e-01	4.118518e-01	4.011394e-01	-1.071237e-02	-5.362547e-03	-5.349822e-03	-6.362395e-06	5.356184e-03	4.064956e-01	-1.203287e-20	4.064956e-01	-4.064956e-01
4             	9.251455e-01	4.732320e-01	4.519135e-01	-2.131855e-02	-1.066122e-02	-1.065733e-02	-1.944412e-06	1.065928e-02	4.625728e-01	-1.848032e-20	4.625728e-01	-4.625728e-01
5             	1.002114e+00	5.142949e-01	4.878190e-01	-2.647593e-02	-1.323612e-02	-1.323981e-02	1.848877e-06	1.323797e-02	5.010569e-01	-2.252029e-20	5.010569e-01	-5.010569e-01
6             	1.034136e+00	5.303179e-01	5.038185e-01	-2.649941e-02	-1.324746e-02	-1.325195e-02	2.240976e-06	1.324970e-02	5.170682e-01	-2.572349e-20	5.170682e-01	-5.170682e-01
7             	1.026062e+00	5.244121e-01	5.016495e-01	-2.276262e-02	-1.137593e-02	-1.138670e-02	5.383840e-06	1.138131e-02	5.130308e-01	-2.822664e-20	5.130308e-01	-5.130308e-01
8             	9.906626e-01	5.030779e-01	4.875847e-01	-1.549321e-02	-7.747131e-03	-7.746079e-03	-5.259317e-07	7.746605e-03	4.953313e-01	-3.033148e-20	4.953313e-01	-4.953313e-01
9             	9.403904e-01	4.730046e-01	4.673858e-01	-5.618721e-03	-2.771234e-03	-2.847487e-03	3.812632e-05	2.809360e-03	4.701952e-01	-3.151226e-20	4.701952e-01	-4.701952e-01
10            	8.851881e-01	4.420174e-01	4.431707e-01	1.153226e-03	6.215799e-04	5.316460e-04	4.496693e-05	-5.766130e-04	4.425940e-01	-3.088338e-20	4.425940e-01	-4.425940e-01
11            	8.301018e-01	4.096495e-01	4.204523e-01	1.080280e-02	5.436771e-03	5.366025e-03	3.537320e-05	-5.401398e-03	4.150509e-01	-3.071102e-20	4.150509e-01	-4.150509e-01
12            	7.790298e-01	3.795352e-01	3.994946e-01	1.995936e-02	1.000904e-02	9.950324e-03	2.935759e-05	-9.979681e-03	3.895149e-01	-3.057014e-20	3.895149e-01	-3.895149e-01
